"","source","AREA","AREA_SMOOTH","TOTAL_PERIM","TOTAL_PERIM_SMOOTH","Date","Sat","DGO","ID","Indicator","AREA_km2","yrs","mon","Braiding","Length"
"1","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",833575.678699655,833875.991475037,21529.9023177816,19630.4495972082,2018-12-31,"Sentinel","DGO1",1,"MNDWI",0.833875991475037,2018,12,1.96304495972082,5
"2","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",644977.744635749,643225.841714695,25667.9561161046,23533.6878529115,2019-01-20,"Sentinel","DGO1",1,"MNDWI",0.643225841714695,2019,1,2.35336878529115,5
"3","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",1089835.8622389,1090987.05940353,40860.7293435549,37116.8302079285,2019-02-04,"Sentinel","DGO1",1,"MNDWI",1.09098705940353,2019,2,3.71168302079285,5
"4","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",963903.417749137,967857.507813875,39281.4401997534,35815.5271607118,2019-02-14,"Sentinel","DGO1",1,"MNDWI",0.967857507813875,2019,2,3.58155271607118,5
"5","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",482703.771082199,482203.211308467,30405.6283543262,27617.1357905086,2019-02-24,"Sentinel","DGO1",1,"MNDWI",0.482203211308467,2019,2,2.76171357905086,5
"6","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",416636.058358297,418187.669560182,26747.3889313458,23901.0637318535,2019-03-01,"Sentinel","DGO1",1,"MNDWI",0.418187669560182,2019,3,2.39010637318535,5
"7","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",197807.8134173,199009.173302788,11054.8170784088,10122.9030457086,2019-03-16,"Sentinel","DGO1",1,"MNDWI",0.199009173302788,2019,3,1.01229030457086,5
"8","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",186295.87834021,185194.738606871,12074.3396528269,11294.277583339,2019-03-21,"Sentinel","DGO1",1,"MNDWI",0.185194738606871,2019,3,1.1294277583339,5
"9","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",656189.20628291,655037.99227819,21230.051080567,19306.0207644276,2019-04-10,"Sentinel","DGO1",1,"MNDWI",0.655037992278189,2019,4,1.93060207644276,5
"10","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",881125.494593635,881976.370440109,19650.7879261343,18085.5552631713,2019-04-25,"Sentinel","DGO1",1,"MNDWI",0.881976370440109,2019,4,1.80855552631713,5
"11","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",1345713.55232888,1346514.42177719,22609.4132469636,19666.3808301777,2019-05-15,"Sentinel","DGO1",1,"MNDWI",1.34651442177719,2019,5,1.96663808301777,5
"12","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",2100412.7496746,2105868.64966583,45318.8301914894,40932.4692400577,2019-10-17,"Sentinel","DGO1",1,"MNDWI",2.10586864966583,2019,10,4.09324692400577,5
"13","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",1274043.74225263,1273643.33718604,32424.8551264995,29521.5235554556,2019-11-01,"Sentinel","DGO1",1,"MNDWI",1.27364333718604,2019,11,2.95215235554556,5
"14","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",1238605.89779128,1239807.16668645,38601.9454219694,35489.8072418668,2019-11-16,"Sentinel","DGO1",1,"MNDWI",1.23980716668645,2019,11,3.54898072418668,5
"15","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",907557.489687285,907207.147831731,26887.4446332404,24482.5038084363,2019-11-21,"Sentinel","DGO1",1,"MNDWI",0.907207147831731,2019,11,2.44825038084363,5
"16","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",919770.343395173,921722.386808289,27447.1670247773,25107.3255446374,2019-12-01,"Sentinel","DGO1",1,"MNDWI",0.921722386808289,2019,12,2.51073255446374,5
"17","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",815960.861520001,818163.19730022,20070.6185391969,18300.7425386652,2019-12-06,"Sentinel","DGO1",1,"MNDWI",0.81816319730022,2019,12,1.83007425386652,5
"18","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",1004559.61586987,1003608.5971089,28266.7866824549,26118.3858619178,2019-12-11,"Sentinel","DGO1",1,"MNDWI",1.0036085971089,2019,12,2.61183858619178,5
"19","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",881830.446222836,881730.332915109,23149.1832905067,21021.3746003979,2019-12-16,"Sentinel","DGO1",1,"MNDWI",0.881730332915109,2019,12,2.10213746003979,5
"20","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",790233.657429758,791284.779216886,20630.358898468,19016.717921177,2019-12-26,"Sentinel","DGO1",1,"MNDWI",0.791284779216886,2019,12,1.9016717921177,5
"21","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",833579.341914622,834780.611157921,16892.1082127637,15465.1233437967,2019-12-31,"Sentinel","DGO1",1,"MNDWI",0.834780611157921,2019,12,1.54651233437967,5
"22","GEE_exports_S2/BraidingSentinel2021-09_MNDWI_nC8_DGO1_CT5_CF75_SIMPTOL2.csv",941292.554754762,942543.86098085,22969.2576867334,21042.8226890637,2020-01-15,"Sentinel","DGO1",1,"MNDWI",0.94254386098085,2020,1,2.10428226890637,5
